epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.2642,0.87298,39.865,0.80996,0.00025,1,0.00153,0.00056,0.96818,28.2398,0.99623,0.00022,0.00022,0.00022
2,170.267,0.70605,41.1123,0.63653,0.00019,0.75,0.00092,0.0005,2.11027,38.2019,1.44418,0.000450892,0.000450892,0.000450892
3,252.499,0.96151,34.5836,0.90139,0.00019,0.75,0.00032,0.00011,1.54,30.5093,1.6767,0.00067228,0.00067228,0.00067228
4,336.163,0.78461,39.7487,0.75743,6e-05,0.25,5e-05,0,2.85117,37.1157,2.98507,0.000884164,0.000884164,0.000884164
5,420.21,0.86479,22.2389,0.83464,0.00025,1,0.00037,0.00016,1.93859,21.7404,1.73493,0.00108654,0.00108654,0.00108654
6,504.404,1.07789,28.6769,1.01074,6e-05,0.25,5e-05,1e-05,2.17061,21.5528,2.17056,0.00127942,0.00127942,0.00127942
7,584.726,0.99509,24.2286,0.88449,6e-05,0.25,5e-05,1e-05,2.42039,24.2914,2.28236,0.00146279,0.00146279,0.00146279
8,664.603,1.3083,24.4974,1.07191,6e-05,0.25,5e-05,1e-05,3.54437,40.0619,3.25926,0.00163666,0.00163666,0.00163666
9,743.688,1.18162,25.0153,1.00721,6e-05,0.25,7e-05,4e-05,3.01121,36.2176,2.57184,0.0016832,0.0016832,0.0016832
10,823.484,1.2419,19.3783,0.95413,6e-05,0.25,6e-05,2e-05,2.95835,186.42,2.15371,0.0016436,0.0016436,0.0016436
11,911.719,1.37401,15.8347,1.15796,0.00013,0.5,0.00012,4e-05,3.15761,48.5145,2.40585,0.001604,0.001604,0.001604
12,998.014,1.43896,12.2273,1.18442,0.00019,0.75,0.00041,0.00012,2.96044,20.5834,2.75024,0.0015644,0.0015644,0.0015644
13,1077.62,0.61892,24.1393,0.61799,0.00019,0.75,0.00041,0.00012,3.07236,32.2214,2.75525,0.0015248,0.0015248,0.0015248
14,1155.12,1.35936,9.35178,1.20797,7e-05,0.25,5e-05,2e-05,2.71066,16.3979,2.72889,0.0014852,0.0014852,0.0014852
15,1231.07,1.13511,11.7038,1.07347,0.0002,0.75,0.00188,0.00123,2.16385,16.533,2.19413,0.0014456,0.0014456,0.0014456
16,1307.02,1.41522,8.04424,1.52367,0.00019,0.75,0.006,0.00163,2.3969,11.4009,2.72316,0.001406,0.001406,0.001406
17,1384.19,1.4625,9.9731,1.22576,0.00013,0.5,0.00114,0.00065,2.95516,9.78301,3.00538,0.0013664,0.0013664,0.0013664
18,1462.13,1.16755,8.73353,1.07746,6e-05,0.25,0.00044,0.00013,2.48652,13.0501,2.31906,0.0013268,0.0013268,0.0013268
19,1540.78,1.28178,10.5539,1.15934,6e-05,0.25,6e-05,1e-05,2.70321,10.7998,2.4205,0.0012872,0.0012872,0.0012872
20,1619.6,1.45371,7.64312,1.24791,0.00013,0.5,0.00012,6e-05,2.61734,10.6368,2.26679,0.0012476,0.0012476,0.0012476
21,1698.64,1.36331,5.43672,1.3958,0.00013,0.5,0.00855,0.00682,2.94803,9.89983,2.20633,0.001208,0.001208,0.001208
22,1777.63,1.44688,6.95063,1.3653,6e-05,0.25,0.00013,5e-05,2.24962,10.8212,1.93058,0.0011684,0.0011684,0.0011684
23,1853.89,1.08798,9.07491,1.00086,7e-05,0.25,9e-05,2e-05,2.07679,11.1213,1.89147,0.0011288,0.0011288,0.0011288
24,1931.55,1.25788,5.71989,1.25191,0.00022,0.75,0.00248,0.00037,2.73299,10.1382,2.01052,0.0010892,0.0010892,0.0010892
25,2006.49,1.13963,5.67693,1.04406,0.00022,0.75,0.00446,0.00144,2.74616,10.836,2.23173,0.0010496,0.0010496,0.0010496
26,2082.28,1.00684,5.97357,0.9367,0.0002,0.75,0.00575,0.00197,2.85609,11.1807,2.29187,0.00101,0.00101,0.00101
27,2159.97,1.0905,5.67998,1.07432,0.00019,0.75,0.01302,0.00383,2.82727,9.21916,2.23061,0.0009704,0.0009704,0.0009704
28,2236.89,1.14977,5.18969,1.13586,0.00022,0.75,0.02498,0.01089,2.51301,10.0094,2.1482,0.0009308,0.0009308,0.0009308
29,2314.55,0.97844,4.75339,1.05771,0.00021,0.75,0.01728,0.00855,2.43181,10.5326,2.19319,0.0008912,0.0008912,0.0008912
30,2394.18,1.02062,7.70681,1.03343,0.00023,0.75,0.03835,0.01332,2.59076,8.08045,2.37098,0.0008516,0.0008516,0.0008516
31,2472.8,0.88516,5.66705,0.95279,0.00024,0.75,0.05156,0.02344,2.41694,7.60533,1.84673,0.000812,0.000812,0.000812
32,2551.37,1.10439,5.49117,1.04543,0.01696,0.5,0.02528,0.01327,2.15921,7.85653,1.80472,0.0007724,0.0007724,0.0007724
33,2629.27,1.2117,5.31656,1.10544,0.00421,0.25,0.0026,0.00131,2.16701,27.0633,1.67871,0.0007328,0.0007328,0.0007328
34,2707.84,0.69442,8.03461,0.84479,0.00015,0.5,0.00129,0.00075,2.96408,14.6565,2.22443,0.0006932,0.0006932,0.0006932
35,2783.41,1.05152,4.78809,1.14549,0.00025,0.75,0.00218,0.00105,3.00839,10.7305,2.15987,0.0006536,0.0006536,0.0006536
36,2864.58,1.18873,5.05942,1.02303,0.00639,0.25,0.00728,0.00317,2.8637,10.637,2.10921,0.000614,0.000614,0.000614
37,2940.27,0.83507,6.49579,0.93054,0.00027,0.75,0.01354,0.00374,2.67486,8.35322,2.04769,0.0005744,0.0005744,0.0005744
38,3017.83,0.8698,4.97268,0.88208,0.00024,0.75,0.01523,0.00776,2.26539,8.20311,1.85317,0.0005348,0.0005348,0.0005348
39,3094.04,0.82519,6.37736,0.83956,0.00026,0.75,0.03386,0.01689,2.26737,7.46116,1.83894,0.0004952,0.0004952,0.0004952
40,3172.01,0.94016,3.07147,1.02702,0.18455,0.25,0.08483,0.03813,2.31303,8.1034,1.88111,0.0004556,0.0004556,0.0004556
41,3248.96,0.77787,5.28814,0.94683,0.09128,0.25,0.05834,0.03499,2.06908,8.64816,1.74876,0.000416,0.000416,0.000416
42,3324.75,0.95238,4.609,0.93884,0.08974,0.25,0.04027,0.02082,1.91961,7.92144,1.70444,0.0003764,0.0003764,0.0003764
